course_id,title,platform,subscribers
troubles-spectre-autisme-diagnostic,Troubles du spectre de l'autisme : diagnostic,c,94
anatomy403-1x,Anatomy: Musculoskeletal and Integumentary Systems,c,251
crash-course-in-causality,A Crash Course in Causality:  Inferring Causal Effects from Observational Data,c,92
business,English for Business and Entrepreneurship,c,1096
attention-models-in-nlp,Natural Language Processing with Attention Models,c,21
what-is-compliance,What is Compliance?,c,119
getting-started-with-google-sheets,Getting Started with Google Sheets,c,185
python-for-data-visualization,Data Visualization with Python,c,1127
foundations-of-mindfulness,Foundations of Mindfulness,c,39
negociacion,Negociación exitosa: Estrategias y habilidades esenciales (en español),c,715
decision-making,Data-driven Decision Making,c,946
fe-exam,Fundamentals of Engineering Exam Review,c,132
gender-sexuality,Gender and Sexuality: Diversity and Inclusion in the Workplace,c,123
uva-darden-managerial-accounting,Managerial Accounting Fundamentals,c,77
seo-fundamentals,Search Engine Optimization Fundamentals,c,471
essentials-global-health,Essentials of Global Health,c,281
international-security-management,International Security Management,c,79
aws-machine-learning,Getting Started with AWS Machine Learning,c,1154
arts-heritage,Arts and Heritage Management,c,184
einstein-relativity,Understanding Einstein: The Special Theory of Relativity,c,694
reussir-le-changement,Réussir le Changement,c,434
equine,Equine Welfare and Management,c,56
international-migrations,International migrations: a global issue,c,60
web-development,Introduction to Web Development,c,626
writing-editing-words,Writing and Editing: Word Choice and Word Order,c,105
digital-advertising-landscape,Introduction to the Digital Advertising Landscape,c,45
access-control-sscp,Access Controls,c,45
initiating-planning,Engineering Project Management: Initiating and Planning,c,471
kotlin-for-java-developers,Kotlin for Java Developers,c,321
multivariate-calculus-machine-learning,Mathematics for Machine Learning: Multivariate Calculus,c,696
introduction-git-github,Introduction to Git and GitHub,c,687
industrial-biotech,Industrial Biotechnology,c,359
addiction-and-the-brain,The Addicted Brain,c,438
aprendiendo-programar-python,Introducción a la programación en Python I: Aprendiendo a programar con Python,c,970
data-lakes-data-warehouses-gcp,Modernizing Data Lakes and Data Warehouses with GCP,c,225
drug-discovery,Drug Discovery,c,386
nutrition-pregnancy,Nutrition and Lifestyle in Pregnancy,c,465
finance-healthcare-managers,Financial Acumen for Non-Financial Managers,c,107
python-statistics-financial-analysis,Python and Statistics for Financial Analysis,c,437
bugs-101,Bugs 101: Insect-Human Interactions,c,297
autodesk-revit-architectural-design,Autodesk Certified Professional: Revit for Architectural Design Exam Prep,c,107
leading-for-equity-diversity-inclusion,"Leading for Equity, Diversity and Inclusion in Higher Education",c,38
enterprise-architecture,Enterprise Architecture,c,33
wharton-introduction-spreadsheets-models,Introduction to Spreadsheets and Models,c,572
human-needs,The Arts and Science of Relationships: Understanding Human Needs,c,283
clinicalsimulations,Essentials in Clinical Simulations Across the Health Professions,c,158
schedule-projects,Budgeting and Scheduling Projects,c,886
machine-learning-business-professionals,Machine Learning for Business Professionals,c,874
intro-accounting-data-analytics-visual,Introduction to Accounting Data Analytics and Visualization,c,43
spanish-vocabulary-meeting-people,Spanish Vocabulary: Meeting People,c,478
gestionempresarialpyme,Gestión Empresarial Exitosa para Pymes,c,1764
public-policy,Public Policy Challenges of the 21st Century,c,272
arbitration-international-disputes,International Law in Action: the Arbitration of International Disputes,c,102
introancientegypt,Introduction to Ancient Egypt and Its Civilization,c,558
infrastructure-investing,Financing and Investing in Infrastructure,c,356
global-environmental-management,Global Environmental Management,c,283
wharton-operations-analytics,Operations Analytics,c,830
entrepreneurship-strategy,Entrepreneurship Strategy: From Ideation to Exit,c,6
fintechlawandpolicy,FinTech Law and Policy,c,109
mental-health,The Social Context of Mental Health and Illness,c,83
contemporary-art,What Is Contemporary Art?,c,292
producing-music,The Art of Music Production,c,430
biohacking-your-brains-health,Biohacking Your Brain's Health,c,237
bayesian-statistics,Bayesian Statistics: From Concept to Data Analysis,c,640
reporting-extra-financier-strategie-rse,Reporting extra-financier et stratégie RSE,c,53
quality-healthcare,Leading Healthcare Quality and Safety,c,186
international-relations-theory,Understanding International Relations Theory,c,106
introduction-to-data-analytics,Introduction to Data Analytics,c,18
excel-para-negocios,Fundamentos de Excel para Negocios,c,1250
gcp-infrastructure-scaling-automation,Elastic Google Cloud Infrastructure: Scaling and Automation,c,657
cultural-competence-aboriginal-sydney,Cultural Competence - Aboriginal Sydney,c,44
finanzas-empresariales,Fundamentos de Finanzas Empresariales,c,1442
gte-sustainable-cities,Greening the Economy: Sustainable Cities,c,597
engineering-mechanics-statics,Introduction to Engineering Mechanics,c,730
design-strategy,Design-Led Strategy: Design thinking for business strategy and entrepreneurship,c,135
bioinformatics,Biology Meets Programming: Bioinformatics for Beginners,c,307
medical-research,Understanding Medical Research: Your Facebook Friend is Wrong,c,267
health-behavior-change,Health Behavior Change: From Evidence to Action,c,27
cs-fundamentals-2,Ordered Data Structures,c,97
mindshift,Mindshift: Break Through Obstacles to Learning and Discover Your Hidden Potential,c,2727
programming-fundamentals,Programming Fundamentals,c,1251
understanding-financial-markets,Understanding Financial Markets,c,856
painting,In the Studio: Postwar Abstract Painting,c,460
drug-commercialization,Drug Commercialization,c,151
introduction-to-software-product-management,Introduction to Software Product Management,c,1076
norms,"Social Norms, Social Change I",c,391
excel-intermediate-2,Excel Skills for Business: Intermediate II,c,1009
aboriginal-education,Aboriginal Worldviews and Education,c,67
information-systems-audit,"Information Systems Auditing, Controls and Assurance",c,227
six-sigma-principles,Six Sigma Principles,c,980
writing-for-business,Business Writing,c,811
autodesk-autocad-design-drafting,Autodesk Certified Professional: AutoCAD for Design and Drafting Exam Prep,c,321
typography,Introduction to Typography,c,810
customer-segmentation-prospecting,Customer Segmentation and Prospecting,c,162
gestionar-personas,Claves para Gestionar Personas,c,646
journalism,English for Journalism,c,603
how-things-work,How Things Work: An Introduction to Physics,c,620
business-english-intro,Business English: Networking,c,573
summary-statistics,Summary Statistics in Public Health,c,233
globalenergyandclimatepolicy,Global Energy and Climate Policy,c,103
legaltech,El Abogado del Futuro: Legaltech y la Transformación Digital del Derecho,c,125
probability-statistics,Probability and Statistics: To p or not to p?,c,336
microbiome,Gut Check: Exploring Your Microbiome,c,251
erasmus-econometrics,Econometrics: Methods and Applications,c,200
golang-webservices-1,Разработка веб-сервисов на Go - основы языка,c,94
analytics-excel,Mastering Data Analysis in Excel,c,797
basic-statistics,Basic Statistics,c,833
python-data-visualization,"Capstone: Retrieving, Processing, and Visualizing Data with Python",c,1294
uva-darden-design-thinking-social-sector,Design Thinking for the Greater Good: Innovation in the Social Sector,c,84
introduction-portfolio-construction-python,Introduction to Portfolio Construction and Analysis with Python,c,195
data-analytics-for-lean-six-sigma,Data Analytics for Lean Six Sigma,c,679
refugees-21st-century,Refugees in the 21st Century,c,60
containerized-apps-on-aws,Building Containerized Applications on AWS,c,44
business-transformation-google-cloud,Business Transformation with Google Cloud,c,181
version-control-with-git,Version Control with Git,c,467
transmedia-storytelling,"Transmedia Storytelling: Narrative worlds, emerging technologies, and global audiences",c,169
excel-aplicado-negocios-avanzado,Excel aplicado a los negocios (Nivel Avanzado),c,642
public-speaking,Introduction to Public Speaking,c,406
conversational-experiences-dialogflow,Building Conversational Experiences with Dialogflow,c,229
guitar,Guitar for Beginners,c,534
project-risk-management,Managing Project Risks and Changes,c,811
excellence-operationnelle,L'excellence opérationnelle en pratique,c,98
introduction-to-cloud,Introduction to Cloud Computing,c,83
sample-based-learning-methods,Sample-based Learning Methods,c,149
progfun1,Functional Programming Principles in Scala,c,1434
introduction-blockchain-technologies,Introduction to Blockchain Technologies,c,302
environmental-law,Introduction to Environmental Law and Policy,c,523
exposure-photography,"Cameras, Exposure, and Photography",c,1071
democracia,Democracia y decisiones públicas. Introducción al análisis de políticas públicas,c,436
dentistry101,Dentistry 101,c,32
python-functions-files-dictionaries,"Python Functions, Files, and Dictionaries",c,535
anticorrupcion-introduccion,Anticorrupción: Introducción a conceptos y perspectiva práctica,c,385
positive-psychology-applications,Positive Psychology: Applications and Interventions,c,398
introduction-embedded-systems,Introduction to Embedded Systems Software and Development Environments,c,109
family-planning,Personal & Family Financial Planning,c,380
law-student,A Law Student's Toolkit,c,291
intro-data-science-programacion-estadistica-r,Introducción a Data Science: Programación Estadística con R,c,2393
cybersecurity-roles-processes-operating-system-security,"Cybersecurity Roles, Processes & Operating System Security",c,344
computational-neuroscience,Computational Neuroscience,c,178
smart-cities,Smart Cities – Management of Smart Urban Infrastructures,c,222
golang-getting-started,Getting Started with Go,c,314
intro-economic-theories,Introduction to Economic Theories,c,44
principles-of-microeconomics,The Power of Microeconomics: Economic Principles in the Real World,c,270
personal-branding,Introduction to Personal Branding,c,1976
love-social-justice,Love as a Force for Social Justice,c,73
what-is-a-proof,Mathematical Thinking in Computer Science,c,353
genetics-evolution,Introduction to Genetics and Evolution,c,263
python-osnovy-programmirovaniya,Основы программирования на Python,c,524
wharton-communication-skills,Improving Communication Skills,c,359
introduction-trading-machine-learning-gcp,"Introduction to Trading, Machine Learning & GCP",c,138
python-programming-introduction,Python Programming: A Concise Introduction,c,1161
modern-world-2,"The Modern World, Part Two: Global History since 1910",c,290
plantknows,Understanding Plants - Part I: What a Plant Knows,c,339
excel-data-analysis-fundamentals,Excel Fundamentals for Data Analysis,c,97
finanzas-personales,Finanzas personales,c,2590
english-composition,English Composition I,c,179
healthcarejobs,Career 911: Your Future Job in Medicine and Healthcare,c,11
intro-self-driving-cars,Introduction to Self-Driving Cars,c,332
corporate-commercial-law-part1,Corporate & Commercial Law I: Contracts & Employment Law,c,108
blockchain-basics,Blockchain Basics,c,1111
uva-darden-foundations-business-strategy,Foundations of Business Strategy,c,454
ciencia-computacao-python-conceitos,Introdução à Ciência da Computação com Python Parte 1,c,1419
